exp_name,dataset,chunker,chunk_size,chunk_overlap,ret_type,k,recall,recall_std,precision,precision_std
exp_1,state_of_the_union,FixedTokenChunker,800,400,chromadb,10,0.9404520917678812,0.22961082725223306,0.006461464818631514,0.004617149872385806
exp_2,state_of_the_union,FixedTokenChunker,400,200,chromadb,10,1.0,0.0,0.013190145689104699,0.008620716509649634
exp_3,state_of_the_union,FixedTokenChunker,400,0,chromadb,10,0.9343528593117408,0.2340615018832407,0.00965365839999248,0.00686644810825426
exp_4,state_of_the_union,FixedTokenChunker,300,0,chromadb,10,0.9335362771812625,0.23525014011486697,0.012942477618659865,0.00909022499439799
exp_5,state_of_the_union,FixedTokenChunker,200,0,chromadb,10,0.9803680583106076,0.1198183555206811,0.020251646390384945,0.012997914250597604
exp_6,state_of_the_union,FixedTokenChunker,800,400,chromadb,5,0.9404520917678812,0.22961082725223306,0.006461464818631514,0.004617149872385806
exp_7,state_of_the_union,FixedTokenChunker,400,200,chromadb,5,1.0,0.0,0.013190145689104699,0.008620716509649634
exp_8,state_of_the_union,FixedTokenChunker,400,0,chromadb,5,0.9343528593117408,0.2340615018832407,0.00965365839999248,0.00686644810825426
exp_9,state_of_the_union,FixedTokenChunker,300,0,chromadb,5,0.9335362771812625,0.23525014011486697,0.012942477618659865,0.00909022499439799
exp_10,state_of_the_union,FixedTokenChunker,200,0,chromadb,5,0.9803680583106076,0.1198183555206811,0.020251646390384945,0.012997914250597604
